정류장,호선_개수,주변_편의시설_개수,노선,위도,경도,주변_장애인시설_개수,지역구,8월_장애인_승객수,9월_장애인_승객수,10월_장애인_승객수,평균_장애인_승객수
가락시장,2,20,3,37.492245,127.117757,0,송파구,15118,16471,16307,15965.333333333334
강동구청,1,33,8,37.530341,127.120508,1,송파구,8585,8704,9210,8833.0
개롱,1,23,5,37.498079,127.13482,0,송파구,7049,7045,7553,7215.666666666667
거여,1,18,5,37.493105,127.14415,3,송파구,10204,10431,10910,10515.0
경찰병원,1,22,3,37.495918,127.12454,0,송파구,5616,5626,5626,5622.666666666667
마천,1,14,5,37.49499,127.152781,2,송파구,8932,9114,9949,9331.666666666666
몽촌토성(평화의문),1,32,8,37.517409,127.112359,2,송파구,3702,4368,4493,4187.666666666667
문정,1,13,8,37.485855,127.1225,0,송파구,8489,8409,9224,8707.333333333334
방이,1,29,5,37.508857,127.126133,1,송파구,5076,5216,5472,5254.666666666667
복정,2,2,8,37.471052,127.126732,3,송파구,5890,6405,6863,6386.0
석촌,2,27,8,37.505557,127.106832,1,송파구,6347,6482,7081,6636.666666666667
송파,1,7,8,37.499703,127.112183,0,송파구,6095,6056,6345,6165.333333333333
오금,2,22,3,37.502129,127.128319,4,송파구,7441,7460,7699,7533.333333333333
올림픽공원(한국체대),2,7,5,37.516201,127.130923,0,송파구,3225,3666,4398,3763.0
잠실(송파구청),2,32,2,37.513262,127.100159,0,송파구,43195,42389,44988,43524.0
잠실나루,1,1,2,37.520733,127.10379,0,송파구,10705,10552,11243,10833.333333333334
잠실새내,1,30,2,37.511687,127.086162,0,송파구,11301,11090,11842,11411.0
장지,1,6,8,37.478703,127.126191,1,송파구,13178,13049,13643,13290.0
종합운동장,2,7,2,37.511022,127.073704,0,송파구,5857,6979,6983,6606.333333333333
가산디지털단지,2,91,7,37.480338,126.882656,1,금천구,20337,19732,21013,20360.666666666668
가양,1,57,9,37.561391,126.854456,2,강서구,32557,32905,34966,33476.0
개화,1,0,9,37.578608,126.798153,0,강서구,2278,2446,2635,2453.0
개화산,1,12,5,37.572399,126.806171,0,강서구,7501,7873,8668,8014.0
공항시장,1,9,9,37.563726,126.810678,0,강서구,3941,4012,4309,4087.3333333333335
김포공항,5,4,5,37.562384,126.801292,0,강서구,13343,11491,11904,12246.0
까치산,1,65,5,37.531768,126.846683,1,강서구,24765,25300,27124,25729.666666666668
등촌,1,36,9,37.550632,126.865689,0,강서구,11682,11851,12444,11992.333333333334
마곡,1,14,5,37.560183,126.825448,0,강서구,8610,8521,8834,8655.0
발산,1,36,5,37.558598,126.837668,1,강서구,18219,18633,20216,19022.666666666668
방화,1,22,5,37.577446,126.812741,3,강서구,9251,9440,10648,9779.666666666666
송정,1,13,5,37.561184,126.811973,0,강서구,7222,7324,7857,7467.666666666667
신방화,1,10,9,37.567532,126.816601,0,강서구,8646,8476,8787,8636.333333333334
양천향교,1,16,9,37.568381,126.841333,5,강서구,9333,9527,9963,9607.666666666666
염창,1,22,9,37.546936,126.874916,0,강서구,11943,12347,13035,12441.666666666666
우장산,1,43,5,37.548768,126.836318,1,강서구,12137,12394,13133,12554.666666666666
